ligand_id,ligand_name,num_atoms,spm_score,molskill_score,is_ns
73,NS-017393770-0000,24,-0.002000,-16.430000,Yes
74,3gc4_A_rec_1y5w_nez_lig_tt_min_0_pocket10_gen_sample_1,24,-0.768665,0.410000,No
75,NS-051129985-0000,23,-0.086070,6.650000,Yes
76,4e6d_A_rec_4d0w_vvq_lig_tt_docked_2_pocket10_gen_sample_8,23,-2.194557,-1.440000,No
77,NS-012574556-0000,27,-1.067774,5.020000,Yes
78,5lny_A_rec_2ye9_2d4_lig_tt_min_0_pocket10_gen_sample_17,27,-3.324863,15.760000,No
79,NS-020014141-0000,13,-0.872613,-4.270000,Yes
80,1gj9_B_rec_4fu8_2up_lig_tt_docked_0_pocket10_gen_sample_3,13,-1.226781,6.810000,No
81,NS-023910929-0000N-cyclohexyl-1-pyridin-4-yl-34-dihydropyrrolo12-apyrazin,24,-1.147086,-4.310000,Yes
82,4yi3_A_rec_3ms7_22s_lig_tt_min_0_pocket10_gen_sample_6,24,-0.475563,5.610000,No
83,NS-020960227-0000,22,-1.140722,4.580000,Yes
84,4ok5_A_rec_4ok5_2t2_lig_tt_min_0_pocket10_gen_sample_3,22,-1.417484,1.990000,No
85,NS-049999761-0000,21,-0.338872,6.170000,Yes
87,NS-012818146-0000,24,-0.490024,2.420000,Yes
88,5d7r_A_rec_5d7d_57x_lig_tt_min_0_pocket10_gen_sample_10,24,-1.935555,-6.070000,No
89,NS-018325291-0000,27,-0.689964,4.620000,Yes
90,3t9e_A_rec_5byb_adp_lig_tt_docked_3_pocket10_gen_sample_7,27,-3.325622,-0.100000,No
91,NS-015201493-0000,26,-1.340095,13.770000,Yes
92,3apf_A_rec_2chx_090_lig_tt_min_0_pocket10_gen_sample_11,26,-3.695468,12.430000,No
93,NS-019988833-0000,19,-0.461005,1.920000,Yes
94,4rse_A_rec_4ryz_a5v_lig_tt_docked_2_pocket10_gen_sample_9,19,-2.328735,-9.630000,No
95,NS-017316361-0000,23,-0.456192,5.060000,Yes
96,2b7a_A_rec_4e6d_0nu_lig_tt_docked_8_pocket10_gen_sample_13,23,-1.912316,6.450000,No
97,NS-019705649-0000,20,-1.007750,-16.730000,Yes
98,2hgz_A_rec_2hgz_pbf_lig_tt_docked_0_pocket10_gen_sample_18,20,-1.768948,15.940000,No
99,NS-019490147-0000,25,-0.987716,8.610000,Yes
100,3nxo_A_rec_3nxx_d2d_lig_tt_docked_5_pocket10_gen_sample_1,25,-1.628552,18.070000,No
101,NS-023883832-00002-4-chlorophenoxy-N-4-methyl-2-2-methyl-5-oxo-5H-13t,32,-0.528733,0.620000,Yes
102,2har_A_rec_3ogt_fmv_lig_tt_min_0_pocket10_gen_sample_1,32,-2.682878,2.360000,No
103,NS-014768552-0000,25,-0.847194,7.420000,Yes
104,2uym_A_rec_2uyi_k02_lig_tt_docked_0_pocket10_gen_sample_13,25,-3.606527,-7.750000,No
105,NS-019340715-0000,25,-1.285076,-13.700000,Yes
106,4dec_A_rec_5jt0_udp_lig_tt_docked_2_pocket10_gen_sample_1,25,-3.312794,18.030000,No
107,NS-019585864-0000,24,-0.519230,-0.760000,Yes
108,5nak_A_rec_5nag_8r5_lig_tt_docked_3_pocket10_gen_sample_1,24,-3.475127,-5.380000,No
109,NS-023403801-0000,25,-0.247779,9.030000,Yes
111,NS-027006947-0000,12,-0.441936,12.140000,Yes
112,4a9h_A_rec_2dvs_aly_lig_tt_min_0_pocket10_gen_sample_1,12,-0.947527,18.160000,No
113,NS-042313301-0000,23,-1.998845,12.830000,Yes
114,4e4l_B_rec_4e4l_0nh_lig_tt_docked_0_pocket10_gen_sample_17,23,-1.649128,-2.670000,No
115,NS-022298442-0000,20,-0.955884,-2.100000,Yes
116,4j71_A_rec_3du8_553_lig_tt_min_0_pocket10_gen_sample_3,20,-2.629708,6.750000,No
117,NS-017847584-0000,23,-1.088265,-0.080000,Yes
118,3pzc_A_rec_3mf2_amp_lig_tt_docked_0_pocket10_gen_sample_15,23,-2.806592,14.790000,No
119,2b7a_A_rec_4e6d_0nu_lig_tt_min_0_pocket10_gen_sample_11,23,-1.996716,13.400000,No
120,NS-021796607-0000,22,-1.213826,12.410000,Yes
121,3lp1_A_rec_1tkz_h16_lig_tt_min_0_pocket10_gen_sample_12,22,-1.458393,-8.740000,No
122,NS-023373027-0000,20,-0.795714,-9.440000,Yes
123,2x23_A_rec_4oyr_1us_lig_tt_min_0_pocket10_gen_sample_11,20,-0.761972,2.580000,No
124,NS-023542657-0000,18,-0.944493,-10.560000,Yes
125,3omq_A_rec_1u3q_272_lig_tt_docked_3_pocket10_gen_sample_11,18,-1.551312,11.360000,No
126,4ear_A_rec_2on6_imh_lig_tt_min_0_pocket10_gen_sample_9,19,-2.638409,7.700000,No
127,NS-022335021-0000,27,-1.257682,-5.870000,Yes
128,4pm1_A_rec_4pme_cur_lig_tt_min_0_pocket10_gen_sample_10,27,-3.106960,-20.290000,No
129,NS-006821640-0000,16,0.526588,-15.470000,Yes
130,2wf6_A_rec_2wf7_g7p_lig_tt_min_0_pocket10_gen_sample_5,16,-1.970957,10.730000,No
131,NS-021966257-0000,20,-0.939750,-0.680000,Yes
132,1z4x_A_rec_1z4v_dan_lig_tt_min_0_pocket10_gen_sample_17,20,-2.669212,4.550000,No
133,NS-025059315-0000,16,0.056830,-11.860000,Yes
134,1cbx_A_rec_1cps_cpm_lig_tt_min_0_pocket10_gen_sample_13,16,-2.922301,13.960000,No
135,NS-019980803-0000,18,-0.912327,-3.100000,Yes
136,1xwf_A_rec_5axb_nrn_lig_tt_docked_0_pocket10_gen_sample_15,18,-1.552823,8.090000,No
137,NS-019482696-0000,21,-0.927341,10.860000,Yes
138,1km6_A_rec_1los_up6_lig_tt_docked_5_pocket10_gen_sample_10,21,-1.995811,5.700000,No
139,NS-022283598-0001,22,-1.000453,-6.720000,Yes
140,1l4b_A_rec_1l4k_ncn_lig_tt_docked_0_pocket10_gen_sample_3,22,-2.140379,15.520000,No
141,NS-015284186-0000,22,0.002736,-4.690000,Yes
142,1l4k_A_rec_1l4k_ncn_lig_tt_docked_0_pocket10_gen_sample_12,22,-1.748989,12.890000,No
143,NS-021915423-0000,24,-0.585088,19.940000,Yes
